date,N-tourists,Sentiment,ILI%,Baidu,N-influenza,RH,N-tourist
2019/10/7,5.611404638,-1.143953935,0.408239965,4.562923026,2.100370545,1.918329954,5.611404638
2019/10/14,5.68713551,-1.191751394,0.431363764,4.560086048,2.187520721,1.868392503,5.68713551
2019/10/21,5.674969471,-1.225851589,0.440909082,4.562697224,2.334453751,1.870069318,5.674969471
2019/10/28,5.656421166,-1.238714167,0.456366033,4.556230112,2.403120521,1.858193338,5.656421166
2019/11/4,5.674897866,-1.225012485,0.456366033,4.558720567,2.505149978,1.787359252,5.674897866
2019/11/11,5.680077036,-1.191086646,0.471291711,4.610532411,2.606381365,1.880813592,5.680077036
2019/11/18,5.688488343,-1.152660146,0.505149978,4.646834866,2.791690649,1.853002506,5.688488343
2019/11/25,5.648989038,-1.122098747,0.534026106,4.688722299,3.031004281,1.857332496,5.648989038
2019/12/2,5.641059449,-1.108754125,0.588831726,4.75492141,3.224274014,1.651831608,5.641059449
2019/12/9,5.668636542,-1.118301053,0.698970004,4.783875006,3.463594402,1.84509804,5.668636542
2019/12/16,5.648778489,-1.149340338,0.738780558,5.001751015,3.607990859,1.896053559,5.648778489
2019/12/23,5.718658604,-1.201607882,0.772321707,4.850719734,3.672744198,1.895264649,5.718658604
2019/12/30,5.739803274,-1.277285732,0.800717078,4.780936263,3.665205628,1.936657335,5.739803274
2020/1/6,5.744093397,-1.381462483,0.761927838,4.781819976,3.66029616,1.903864821,5.744093397
2020/1/13,5.80352403,-1.520483166,0.686636269,4.818859053,3.621902961,1.884876246,5.80352403
2020/1/20,5.675130081,-1.700630093,0.86923172,4.667938344,3.55351894,1.936657335,5.675130081
2020/1/27,4.896349818,-1.917988866,0.903089987,4.402828605,3.229169703,1.815767438,4.896349818
2020/2/3,4.292986667,-2.103613407,0.776701184,4.355987592,2.910624405,1.931603144,4.292986667
2020/2/10,3.961848059,-2.119172579,0.691965103,4.881470252,2.544068044,1.969815141,3.961848059
2020/2/17,4.222326211,-2.007835931,0.593286067,4.763562754,2.220108088,1.840643699,4.222326211
2020/2/24,4.236814275,-1.88802676,0.5289167,4.750870798,2.120573931,1.927956653,4.236814275
2020/3/2,4.434712581,-1.813550882,0.456366033,4.700660459,1.886490725,1.960402818,4.434712581
2020/3/9,4.476672252,-1.795514495,0.428134794,4.674796864,1.919078092,1.932328782,4.476672252
2020/3/16,4.267640982,-1.81787604,0.411619706,4.740520586,1.919078092,1.968482949,4.267640982
2020/3/23,3.990250033,-1.869992686,0.372912003,4.789615962,1.672097858,1.969815141,3.990250033
2020/3/30,3.261024834,-1.943386109,0.334453751,4.774261423,1.380211242,1.987410873,3.261024834
2020/4/6,3.2929203,-2.025928674,0.330413773,4.780957838,1,1.921314807,3.2929203
2020/4/13,3.454997217,-2.11200432,0.330413773,4.812853219,0.84509804,1.884876246,3.454997217
2020/4/20,3.441066407,-2.203082599,0.334453751,4.767719712,0.698970004,1.95630567,3.441066407
2020/4/27,3.419790586,-2.302201215,0.365487985,4.598243192,0,1.900757155,3.419790586
2020/5/4,3.466571072,-2.414417121,0.376576957,4.552729037,0.477121255,1.951476293,3.466571072
