date,N-tourists,T_avg,Sentiment,Baidu,ILI%,N_influenza,N-tourist
2019/2/25,5.685378929,1.281358073,-1.179281565,4.845866681,0.546542663,3.395151592,5.685378929
2019/3/4,5.680037117,1.254582601,-1.099395418,4.872634025,0.539076099,3.396373728,5.680037117
2019/3/11,5.743697866,1.272504652,-1.02257801,4.822795522,0.5774918,3.421932813,5.743697866
2019/3/18,5.755041277,1.323399444,-0.960208744,4.82230541,0.579783597,3.407220893,5.755041277
2019/3/25,5.736920527,1.328379603,-0.918429434,4.776330641,0.584331224,3.415140352,5.736920527
2019/4/1,5.73285435,1.346073416,-0.902152999,4.767178137,0.610660163,3.213783299,5.73285435
2019/4/8,5.717092723,1.375532979,-0.914959243,4.802575341,0.588831726,3.205475037,5.717092723
2019/4/15,5.746939188,1.359564472,-0.949790719,4.847264102,0.597695186,3.130976692,5.746939188
2019/4/22,5.746935299,1.415450333,-0.99681,4.779083981,0.584331224,3.14332713,5.746935299
2019/4/29,5.859611979,1.359564472,-1.04256785,4.820116038,0.586587305,2.829946696,5.859611979
2019/5/6,5.699337262,1.344953378,-1.069159098,4.696260257,0.536558443,2.996949248,5.699337262
2019/5/13,5.727646971,1.437070738,-1.073475373,4.673969601,0.539076099,2.985875357,5.727646971
2019/5/20,5.714565288,1.406053303,-1.065197316,4.688250699,0.546542663,2.880813592,5.714565288
2019/5/27,5.664657016,1.402629793,-1.055230596,4.699126322,0.534026106,2.851869601,5.664657016
2019/6/3,5.715469334,1.452224674,-1.053807284,4.662115356,0.579783597,2.758911892,5.715469334
2019/6/10,5.669083396,1.442479769,-1.065427493,4.678518379,0.536558443,2.641474111,5.669083396
2019/6/17,5.700923404,1.456582909,-1.085089409,4.645677662,0.521138084,2.624282096,5.700923404
2019/6/24,5.66323435,1.455062497,-1.106340157,4.64852589,0.526339277,2.624282096,5.66323435
2019/7/1,5.712730493,1.455062497,-1.121512949,4.651404019,0.51851394,2.57634135,5.712730493
2019/7/8,5.753436738,1.45397322,-1.123561372,4.668963349,0.480006943,2.575187845,5.753436738
2019/7/15,5.78805943,1.469611653,-1.112054189,4.688642252,0.482873584,2.488550717,5.78805943
2019/7/22,5.813414177,1.457881897,-1.089184009,4.717395862,0.471291711,2.53529412,5.813414177
2019/7/29,5.770572206,1.428597548,-1.057733115,4.873233385,0.456366033,2.492760389,5.770572206
2019/8/5,5.813018243,1.471710712,-1.020709998,4.720060025,0.450249108,2.571708832,5.813018243
2019/8/12,5.781984306,1.457016337,-0.98386998,4.708777708,0.421603927,2.385606274,5.781984306
2019/8/19,5.777019889,1.458529936,-0.953828734,4.707323154,0.414973348,2.336459734,5.777019889
2019/8/26,5.691423663,1.438881244,-0.935667817,4.672910245,0.394451681,2.298853076,5.691423663
2019/9/2,5.640063837,1.442031581,-0.934205607,4.623611052,0.411619706,2.372912003,5.640063837
2019/9/9,5.641009822,1.461541401,-0.952485246,4.572011452,0.471291711,2.227886705,5.641009822
2019/9/16,5.671625421,1.445826519,-0.987291721,4.572453363,0.447158031,2.214843848,5.671625421
2019/9/23,5.639147687,1.437297465,-1.034650993,4.557904021,0.45331834,2.357934847,5.639147687
2019/9/30,5.913671359,1.45046906,-1.089388245,4.636959046,0.5132176,1.73239376,5.913671359
2019/10/7,5.611404638,1.42882874,-1.143953935,4.562923026,0.408239965,2.100370545,5.611404638
2019/10/14,5.68713551,1.402875226,-1.191751394,4.560086048,0.431363764,2.187520721,5.68713551
2019/10/21,5.674969471,1.397691769,-1.225851589,4.562697224,0.440909082,2.334453751,5.674969471
2019/10/28,5.656421166,1.378397901,-1.238714167,4.556230112,0.456366033,2.403120521,5.656421166
2019/11/4,5.674897866,1.361727836,-1.225012485,4.558720567,0.456366033,2.505149978,5.674897866
2019/11/11,5.680077036,1.354382875,-1.191086646,4.610532411,0.471291711,2.606381365,5.680077036
2019/11/18,5.688488343,1.330993219,-1.152660146,4.646834866,0.505149978,2.791690649,5.688488343
2019/11/25,5.648989038,1.31386722,-1.122098747,4.688722299,0.534026106,3.031004281,5.648989038
2019/12/2,5.641059449,1.197477472,-1.108754125,4.75492141,0.588831726,3.224274014,5.641059449
2019/12/9,5.668636542,1.258363582,-1.118301053,4.783875006,0.698970004,3.463594402,5.668636542
2019/12/16,5.648778489,1.298853076,-1.149340338,5.001751015,0.738780558,3.607990859,5.648778489
2019/12/23,5.718658604,1.267171728,-1.201607882,4.850719734,0.772321707,3.672744198,5.718658604
2019/12/30,5.739803274,1.266500485,-1.277285732,4.780936263,0.800717078,3.665205628,5.739803274
2020/1/6,5.744093397,1.28971633,-1.381462483,4.781819976,0.761927838,3.66029616,5.744093397
2020/1/13,5.80352403,1.24972234,-1.520483166,4.818859053,0.686636269,3.621902961,5.80352403
2020/1/20,5.675130081,1.265154877,-1.700630093,4.667938344,0.86923172,3.55351894,5.675130081
2020/1/27,4.896349818,1.132168172,-1.917988866,4.402828605,0.903089987,3.229169703,4.896349818
2020/2/3,4.292986667,1.212187604,-2.103613407,4.355987592,0.776701184,2.910624405,4.292986667
2020/2/10,3.961848059,1.232269865,-2.119172579,4.881470252,0.691965103,2.544068044,3.961848059
